city_ascii,lat,lng,country,iso3,population
Fair Lakes,38.853,-77.3885,United States,USA,8066.0
Felida,45.7138,-122.7103,United States,USA,8065.0
Vinton,37.2746,-79.8888,United States,USA,8065.0
Waller,47.2035,-122.3699,United States,USA,8064.0
Chardon,41.5803,-81.2081,United States,USA,8063.0
Cumberland Hill,41.9736,-71.4605,United States,USA,8062.0
Cedar Hills,45.5047,-122.8052,United States,USA,8054.0
Richland Hills,32.8095,-97.2273,United States,USA,8052.0
Hillside,41.8674,-87.9019,United States,USA,8043.0
Sound Beach,40.9578,-72.9726,United States,USA,8040.0
Brookhaven,39.8715,-75.3918,United States,USA,8039.0
Fort Dix,40.0059,-74.6089,United States,USA,8032.0
Firebaugh,36.8534,-120.4537,United States,USA,8031.0
Willits,39.4047,-123.3494,United States,USA,8031.0
Long Grove,42.1968,-88.0057,United States,USA,8026.0
Deniliquin,-35.5296,144.95,Australia,AUS,8024.0
Fishersville,38.1004,-78.9686,United States,USA,8022.0
Briarcliff Manor,41.14,-73.844,United States,USA,8021.0
Crestwood Village,39.9568,-74.3524,United States,USA,8020.0
Jefferson,43.0044,-88.8084,United States,USA,8015.0
Ayer,42.5628,-71.5718,United States,USA,8014.0
Raritan,40.5732,-74.6431,United States,USA,8011.0
Long Branch,38.8302,-77.2713,United States,USA,8010.0
Fort Belvoir,38.7119,-77.1459,United States,USA,8009.0
Hastings-on-Hudson,40.9902,-73.8801,United States,USA,8008.0
Ripon,43.8436,-88.8386,United States,USA,8008.0
El Calafate,-50.3333,-72.3,Argentina,ARG,8000.0
Brentwood,38.6194,-90.3476,United States,USA,7998.0
Hamilton,42.6267,-70.858,United States,USA,7991.0
Templeton,35.556,-120.7182,United States,USA,7989.0
Logan,39.5386,-82.4063,United States,USA,7985.0
Orting,47.0966,-122.2111,United States,USA,7983.0
La Junta,37.9796,-103.5473,United States,USA,7983.0
Odessa,28.182,-82.553,United States,USA,7983.0
Abingdon,36.7089,-81.9713,United States,USA,7981.0
Shorewood,44.9131,-93.5796,United States,USA,7978.0
Robinwood,39.6266,-77.663,United States,USA,7976.0
West Long Branch,40.2883,-74.0185,United States,USA,7972.0
Green Cove Springs,29.9904,-81.6807,United States,USA,7966.0
Albion,43.246,-78.1902,United States,USA,7963.0
Dry Run,39.1047,-84.3307,United States,USA,7961.0
Princeton,41.3809,-89.4648,United States,USA,7961.0
Lake Dallas,33.1277,-97.0234,United States,USA,7958.0
Oberlin,41.2857,-82.2197,United States,USA,7958.0
Southwest Ranches,26.0477,-80.3752,United States,USA,7958.0
Salem,38.6278,-88.9579,United States,USA,7954.0
Latrobe,40.3125,-79.3826,United States,USA,7949.0
Flushing,43.0637,-83.8403,United States,USA,7949.0
Blair,41.5417,-96.1361,United States,USA,7943.0
Camp Hill,40.2422,-76.9274,United States,USA,7939.0
Old Forge,41.3705,-75.7409,United States,USA,7937.0
Rathdrum,47.7995,-116.8908,United States,USA,7932.0
Jersey Village,29.8903,-95.5721,United States,USA,7929.0
South Boston,36.7132,-78.9135,United States,USA,7929.0
Downingtown,40.0076,-75.7019,United States,USA,7928.0
Sheboygan Falls,43.729,-87.8266,United States,USA,7928.0
Pahokee,26.8202,-80.6622,United States,USA,7925.0
Cherry Valley,33.9797,-116.9694,United States,USA,7924.0
Manhasset,40.7884,-73.6943,United States,USA,7922.0
Medina,43.2197,-78.3888,United States,USA,7922.0
Columbiana,40.8871,-80.6749,United States,USA,7920.0
Middletown,38.241,-85.5215,United States,USA,7914.0
Bel Aire,37.7749,-97.2457,United States,USA,7914.0
Venice Gardens,27.0694,-82.4054,United States,USA,7904.0
Maryville,38.7261,-89.9645,United States,USA,7900.0
Carnegie,40.408,-80.0861,United States,USA,7898.0
Port Jefferson,40.9465,-73.0579,United States,USA,7898.0
Eaton,39.7506,-84.6342,United States,USA,7896.0
Mecca,33.5767,-116.0645,United States,USA,7893.0
West Boylston,42.369,-71.7846,United States,USA,7892.0
North Springfield,38.8024,-77.2028,United States,USA,7891.0
Campbell,41.0777,-80.5903,United States,USA,7890.0
Erseke,40.3333,20.6833,Albania,ALB,7890.0
Grand Blanc,42.9258,-83.6181,United States,USA,7889.0
Esperance,-33.8573,121.8889,Australia,AUS,7888.0
Mascoutah,38.5191,-89.8045,United States,USA,7886.0
Baldwinsville,43.157,-76.3319,United States,USA,7885.0
South Cleveland,35.1097,-84.9097,United States,USA,7882.0
Summit,47.1694,-122.3628,United States,USA,7876.0
Crookston,47.7747,-96.6062,United States,USA,7865.0
Carl Junction,37.1669,-94.5468,United States,USA,7864.0
Prien,30.1595,-93.2608,United States,USA,7864.0
Cheraw,34.6954,-79.9083,United States,USA,7864.0
Blandon,40.4446,-75.8799,United States,USA,7863.0
